epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.236,1.06668,1.25577,1.18956,0.95818,0.81704,0.87685,0.6434,1.02039,0.48741,0.97271,0.06752,0.000662857,0.000662857
2,272.845,0.80593,0.47545,0.96849,0.94606,0.84927,0.90955,0.72753,0.77826,0.40492,0.89575,0.0348402,0.00131636,0.00131636
3,387.962,0.75995,0.43591,0.93592,0.95549,0.86972,0.92489,0.74277,0.76717,0.39533,0.87583,0.00214714,0.00195667,0.00195667
4,579.959,0.7539,0.42104,0.92421,0.96727,0.87034,0.93534,0.76692,0.70449,0.36717,0.86076,0.0019406,0.0019406,0.0019406
5,733.877,0.71979,0.4037,0.9198,0.95113,0.88317,0.93617,0.78274,0.65038,0.34002,0.86239,0.0019208,0.0019208,0.0019208
6,951.491,0.70006,0.38908,0.91251,0.96696,0.87358,0.93883,0.80421,0.59695,0.33473,0.85248,0.001901,0.001901,0.001901
7,1048.5,0.68608,0.38025,0.9053,0.96982,0.87844,0.93663,0.79246,0.61943,0.35313,0.84793,0.0018812,0.0018812,0.0018812
8,1177.59,0.65443,0.37038,0.89388,0.96796,0.88169,0.93945,0.79679,0.62284,0.35884,0.859,0.0018614,0.0018614,0.0018614
9,1230.66,0.64939,0.36904,0.89413,0.96983,0.88584,0.94051,0.81574,0.58535,0.32354,0.84974,0.0018416,0.0018416,0.0018416
10,1283.83,0.62211,0.35573,0.8912,0.97491,0.87358,0.94234,0.8168,0.57501,0.32604,0.84791,0.0018218,0.0018218,0.0018218
11,1336.94,0.61439,0.35463,0.88554,0.96811,0.88564,0.94317,0.81913,0.56113,0.31035,0.84422,0.001802,0.001802,0.001802
12,1389.57,0.59856,0.34905,0.8799,0.95428,0.89303,0.94397,0.81019,0.59295,0.32582,0.84625,0.0017822,0.0017822,0.0017822
13,1443.28,0.59628,0.34646,0.87938,0.96895,0.87844,0.94245,0.82155,0.55363,0.31742,0.84349,0.0017624,0.0017624,0.0017624
14,1497.05,0.59156,0.34237,0.87902,0.96414,0.88817,0.94612,0.82439,0.56134,0.30923,0.84471,0.0017426,0.0017426,0.0017426
15,1550.81,0.58824,0.34277,0.88103,0.95332,0.8937,0.94866,0.82064,0.5739,0.30963,0.84282,0.0017228,0.0017228,0.0017228
16,1604.53,0.57699,0.33558,0.87563,0.94347,0.90113,0.94348,0.82684,0.55958,0.3077,0.84284,0.001703,0.001703,0.001703
17,1659.24,0.56595,0.32837,0.87258,0.96649,0.88828,0.94605,0.82733,0.55249,0.30239,0.8459,0.0016832,0.0016832,0.0016832
18,1714.9,0.56673,0.32465,0.87348,0.96987,0.88696,0.94884,0.81421,0.60772,0.3074,0.84971,0.0016634,0.0016634,0.0016634
19,1769.18,0.55757,0.32054,0.87115,0.94908,0.90627,0.95099,0.81103,0.61536,0.3159,0.85106,0.0016436,0.0016436,0.0016436
20,1822.46,0.55603,0.31955,0.86984,0.95993,0.8931,0.9431,0.814,0.59219,0.31866,0.85079,0.0016238,0.0016238,0.0016238
21,1877.83,0.55585,0.3212,0.86781,0.95803,0.89951,0.95078,0.81526,0.59276,0.30967,0.84743,0.001604,0.001604,0.001604
22,1932.63,0.55509,0.31972,0.87021,0.9548,0.9141,0.9519,0.8342,0.55826,0.29152,0.8487,0.0015842,0.0015842,0.0015842
23,1989.98,0.55432,0.31695,0.87127,0.9538,0.90349,0.9488,0.82493,0.57628,0.29226,0.84584,0.0015644,0.0015644,0.0015644
24,2045.66,0.54651,0.3138,0.86746,0.96258,0.89789,0.94854,0.82951,0.53522,0.29193,0.84222,0.0015446,0.0015446,0.0015446
25,2100.21,0.54091,0.3077,0.8664,0.96512,0.8968,0.94942,0.82832,0.56819,0.29421,0.84748,0.0015248,0.0015248,0.0015248
26,2154.71,0.53557,0.30642,0.864,0.96821,0.88839,0.94409,0.82752,0.54982,0.29469,0.84417,0.001505,0.001505,0.001505
27,2209.08,0.53271,0.3064,0.86457,0.97627,0.89141,0.94902,0.83296,0.53798,0.2939,0.84171,0.0014852,0.0014852,0.0014852
28,2262.38,0.53342,0.30359,0.86248,0.97857,0.88493,0.95054,0.82802,0.57552,0.29728,0.84555,0.0014654,0.0014654,0.0014654
29,2318.16,0.53237,0.30551,0.86365,0.96281,0.89627,0.95071,0.82824,0.55059,0.28988,0.84388,0.0014456,0.0014456,0.0014456
30,2374.19,0.52372,0.30041,0.85889,0.95543,0.90331,0.94719,0.83283,0.53493,0.2902,0.84114,0.0014258,0.0014258,0.0014258
31,2434.86,0.52489,0.29958,0.86232,0.9673,0.91086,0.95254,0.83207,0.54088,0.28209,0.84268,0.001406,0.001406,0.001406
32,2529.24,0.52547,0.29996,0.86462,0.9663,0.89465,0.95296,0.83643,0.5326,0.28333,0.83967,0.0013862,0.0013862,0.0013862
33,2582.89,0.52331,0.29797,0.86116,0.97094,0.90113,0.95257,0.83379,0.53611,0.28009,0.842,0.0013664,0.0013664,0.0013664
34,2638.29,0.52418,0.2979,0.86258,0.96594,0.906,0.94997,0.84006,0.52329,0.27443,0.8392,0.0013466,0.0013466,0.0013466
35,2695.66,0.51819,0.29521,0.85992,0.96394,0.90987,0.95644,0.83795,0.52798,0.27077,0.84043,0.0013268,0.0013268,0.0013268
36,2757.64,0.51494,0.29217,0.86126,0.97071,0.90276,0.95042,0.83352,0.55524,0.28427,0.84052,0.001307,0.001307,0.001307
37,2812.17,0.51666,0.29087,0.85707,0.97706,0.89727,0.95157,0.83775,0.53767,0.27713,0.84152,0.0012872,0.0012872,0.0012872
38,2868.36,0.51008,0.29009,0.85752,0.97039,0.90282,0.95276,0.84272,0.52538,0.27623,0.83955,0.0012674,0.0012674,0.0012674
39,2931.92,0.51197,0.28935,0.85855,0.95869,0.90762,0.94964,0.83718,0.5334,0.28153,0.84078,0.0012476,0.0012476,0.0012476
40,2992.86,0.51077,0.28693,0.85742,0.96497,0.90762,0.95153,0.84045,0.52431,0.2744,0.83845,0.0012278,0.0012278,0.0012278
41,3078.84,0.50546,0.28773,0.85587,0.96698,0.90276,0.95163,0.83662,0.54115,0.27603,0.8414,0.001208,0.001208,0.001208
42,3173.59,0.50063,0.28181,0.85226,0.96714,0.91086,0.95266,0.84751,0.5274,0.27519,0.83868,0.0011882,0.0011882,0.0011882
43,3276.67,0.50136,0.28528,0.85431,0.96856,0.89867,0.95129,0.84035,0.52289,0.27012,0.83865,0.0011684,0.0011684,0.0011684
44,3397.04,0.50442,0.2839,0.85483,0.97056,0.90849,0.95305,0.84185,0.52553,0.27244,0.83956,0.0011486,0.0011486,0.0011486
45,3453.62,0.50142,0.28262,0.85665,0.96396,0.91033,0.95618,0.8461,0.50409,0.26947,0.83656,0.0011288,0.0011288,0.0011288
46,3528.87,0.49721,0.281,0.85234,0.97373,0.90123,0.95395,0.83754,0.51257,0.2702,0.83789,0.001109,0.001109,0.001109
47,3611.3,0.49758,0.28054,0.85373,0.96629,0.90113,0.95585,0.84425,0.52902,0.27497,0.84147,0.0010892,0.0010892,0.0010892
48,3715.85,0.49203,0.27565,0.85452,0.962,0.906,0.95205,0.84535,0.50644,0.26852,0.84035,0.0010694,0.0010694,0.0010694
49,3780.37,0.48915,0.27513,0.85126,0.95938,0.906,0.95492,0.84943,0.50405,0.26571,0.83784,0.0010496,0.0010496,0.0010496
50,3898.69,0.49376,0.27685,0.85032,0.96233,0.91087,0.95435,0.84954,0.50805,0.272,0.83402,0.0010298,0.0010298,0.0010298
51,4008.94,0.48792,0.2731,0.85274,0.96102,0.90438,0.95303,0.84361,0.51573,0.27565,0.8383,0.00101,0.00101,0.00101
52,4216.26,0.48619,0.27048,0.85113,0.97362,0.89733,0.95457,0.84469,0.51364,0.26676,0.83639,0.0009902,0.0009902,0.0009902
53,4331.83,0.4925,0.27608,0.8532,0.96034,0.90275,0.95496,0.85278,0.49236,0.26946,0.83354,0.0009704,0.0009704,0.0009704
54,4541.34,0.48065,0.27114,0.85092,0.97193,0.89951,0.95666,0.83954,0.51449,0.26758,0.83784,0.0009506,0.0009506,0.0009506
55,4652.12,0.48169,0.26963,0.85166,0.96591,0.90438,0.95158,0.84325,0.51892,0.27298,0.8366,0.0009308,0.0009308,0.0009308
56,4886.62,0.48375,0.27138,0.84955,0.9688,0.9058,0.95327,0.84683,0.5195,0.27073,0.83909,0.000911,0.000911,0.000911
57,5015.81,0.48031,0.26897,0.84824,0.95872,0.90334,0.95208,0.84822,0.50842,0.27411,0.83598,0.0008912,0.0008912,0.0008912
